occurs_at;headline;headline_initial;sub_category_id;Rating;source;valid;description;sub_category_name;month;source_url
01/01/2017;Fête nationale du Soudan.;;45;2;Wikipedia;;;Fêtes étrangères;1;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-186
01/01/2017;Jour de l'an;;41;5;Kalendrier.com;;;Jours fériés;1;https://www.kalendrier.com/jours-feries/2017.html
01/01/2017;Tournois masculin et fémin de Brisbane;Tournoi masculin de  Brisbane International presented by Suncorp, Brisbane - ATP 250;39;2;Wikipedia;;;Tennis;1;Tournoi de Brisbane International presented by Suncorp, Brisbane sur Dur (ext.)d'une dotation de 437 380 $
01/01/2017;Tournoi féminin de Shenzhen;Tournoi féminin de  Shenzhen Open, Shenzhen;39;2;Wikipedia;;;Tennis;1;Tournoi féminin de Intern'l surDur (ext.)avec une dotation de 626 750$
02/01/2017;Paris-Dakar (Paraguay, Bolivie, Argentine);2 au 14 janv., Dakar (Paraguay, Bolivie, Argentine);32;5;Le Parisien;;;Auto-moto;1;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
02/01/2017;Tournoi masculin de Chennai- ATP 250;Tournoi masculin de  Aircel Chennai Open, Chennai - ATP 250;39;2;Wikipedia;;;Tennis;1;Tournoi de Aircel Chennai Open, Chennai sur Dur (ext.)d'une dotation de 447 480 $
02/01/2017;Tournoi masculin de  Doha - ATP 250;Tournoi masculin de  Qatar ExxonMobil Open, Doha - ATP 250;39;2;Wikipedia;;;Tennis;1;Tournoi de Qatar ExxonMobil Open, Doha sur Dur (ext.)d'une dotation de 1 237 190 $
02/01/2017;Tournoi féminin d'Auckland;Tournoi féminin de  ASB Classic, Auckland;39;1;Wikipedia;;;Tennis;1;Tournoi féminin de Intern'l surDur (ext.)avec une dotation de 226 750$
03/01/2017;Pic d'activité de la pluie d'étoiles filantes des Quadrantides;;18;2;Futura Sciences;;;Sciences;1;http://www.futura-sciences.com/sciences/actualites/astronomie-10-evenements-astronomiques-vont-marquer-2017-65785/
04/01/2017;Fête nationale de la Birmanie (indépendance en 1948);Anniversaire de l'indépendance en 1948.;45;2;Wikipedia;;;Fêtes étrangères;1;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-27
04/01/2017;Périhélie: distance minimum entre la Terre et le Soleil : 147,1 millions de kilomètres;;18;2;Futura Sciences;;;Sciences;1;http://www.futura-sciences.com/sciences/actualites/astronomie-10-evenements-astronomiques-vont-marquer-2017-65785/
06/01/2017;32es de finale de la Coupe de France;32es de finale 6 au 8 janvier;35;5;Le Parisien;;;Football;1;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
08/01/2017;Tournois masculin (ATP 250) et féminin de Sydney;Tournoi masculin de  Apia International Sydney, Sydney - ATP 250;39;2;Wikipedia;;;Tennis;1;Tournoi de Apia International Sydney, Sydney sur Dur (ext.)d'une dotation de 437 380 $
08/01/2017;Tournoi féminin de Hobart;Tournoi féminin de  Hobart International, Hobart;39;2;Wikipedia;;;Tennis;1;Tournoi féminin de Intern'l surDur (ext.)avec une dotation de 226 750$
09/01/2017;Tournoi masculin d'Auckland - ATP 250;Tournoi masculin de  ASB Classic, Auckland - ATP 250;39;2;Wikipedia;;;Tennis;1;Tournoi de ASB Classic, Auckland sur Dur (ext.)d'une dotation de 450 110 $
11/01/2017;Ouverture des championnats du monde de handball masculin en France;11 au 29 jan., Phase de poules du 11 au 19, phase finale du 21 au 29;38;5;Le Parisien;;;Sports;1;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
13/01/2017;Reprise du championnat de France après la trève (20ème journée);Reprise : 20e journée 13 au 15 janvier;35;3;Le Parisien;;;Football;1;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
14/01/2017;Coupe d'Afrique des Nations;14 au 25 janvier, Phase de poules;35;4;Le Parisien;;;Football;1;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
16/01/2017;Open d’Australie, premier tournoi du Grand Chelem;16 au 29 janv. Open d’Australie;39;5;Le Parisien;;;Tennis;1;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
19/01/2017;Rallye WRC de Monte-Carlo;19 au 22 janv., Rallye WRC de Monte-Carlo;32;2;Le Parisien;;;Auto-moto;1;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
25/01/2017;Début des championnats du monde d’Europe de patinage artistique à Ostrava (Rtc);25 au 29 janv., Championnats d’Europe à Ostrava (Rtc);38;2;Le Parisien;;;Sports;1;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
26/01/2017;Fête nationale de l'Australie (débarquement des premiers colons britanniques en 1788);Australia Day : Débarquement des premiers colons britanniques en 1788.;45;2;Wikipedia;;;Fêtes étrangères;1;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-14
26/01/2017;Fête nationale de l'Inde (indépendance en 1947);Jour de l'Indépendance en 1947.;45;2;Wikipedia;;;Fêtes étrangères;1;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-90
27/01/2017;Journée internationale dédiée à la mémoire des victimes de l'Holocauste;Journée internationale dédiée à la mémoire des victimes de l'Holocauste (A/RES/60/7);24;3;ONU;;;Histoire;1;
30/01/2017;Tournoi féminin de St. Petersbourg;Tournoi féminin de  St. Petersburg Ladies Trophy, Saint-Pétersbourg;39;1;Wikipedia;;;Tennis;1;Tournoi féminin de Premier surDur (int.)avec une dotation de 710 900$
30/01/2017;Tournoi féminin de Taiwan;Tournoi féminin de  Taiwan Open, Taipei;39;2;Wikipedia;;;Tennis;1;Tournoi féminin de Intern'l surDur (int.)avec une dotation de 226 750$
31/01/2017;Fête nationale de Nauru (indépendance en 1968);Jour de l'indépendance (1968).;45;2;Wikipedia;;;Fêtes étrangères;1;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-140
01/02/2017;Hand Star Game à Paris;1er février, Hand Star Game à Paris;38;2;Le Parisien;;;Sports;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
03/02/2017;Japon - France, 1er tour de Coupe Davis;3 au 5 février, Japon - France, 1er tour de Coupe Davis (finale du 24 au 26 novembre);39;4;Le Parisien;;;Tennis;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
04/02/2017;Journée mondiale contre le cancer;Journée mondiale contre le cancer;29;4;ONU;;;Santé;2;
04/02/2017;Tournoi des six Nations, Angleterre - France;4 février, Angleterre - France;37;5;Le Parisien;;;Rugby;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
04/02/2017;Fête nationale du Sri Lanka (indépendance en 1948);Anniversaire de l'indépendance en 1948.;45;2;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-188
05/02/2017;Super Bowl à Houston (EU);5 février, Super Bowl à Houston (EU);38;5;Le Parisien;;;Sports;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
06/02/2017;Journée internationale de tolérance zéro face aux mutilations sexuelles féminines;Journée internationale de tolérance zéro face aux mutilations sexuelles féminines (A/RES/67/146);29;2;ONU;;;Santé;2;
06/02/2017;Début des championnats du monde de ski alpin à Saint-Moritz (Sui);6 au 19 février, Championnats du monde à Saint-Moritz (Sui);38;5;Le Parisien;;;Sports;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
06/02/2017;Fête nationale de la Nouvelle-Zélande (traité de Waitangi en 1840 entre maoris et britanniques);Traité de Waitangi en 1840 entre les Maori et la Couronne britannique.;45;2;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-147
06/02/2017;Tournoi masculin de Montpellier - ATP 250;Tournoi masculin de  Open Sud de France, Montpellier - ATP 250;39;2;Wikipedia;;;Tennis;2;Tournoi de Open Sud de France, Montpellier sur Dur (int.)d'une dotation de 482 060 €
06/02/2017;Tournoi masculin de Quito - ATP 250;Tournoi masculin de  Ecuador Open, Quito - ATP 250;39;2;Wikipedia;;;Tennis;2;Tournoi de Ecuador Open, Quito sur Terre (ext.)d'une dotation de 482 060 $
06/02/2017;Tournoi masculin de  Sofia - ATP 250;Tournoi masculin de  Garanti Koza Sofia Open, Sofia - ATP 250;39;2;Wikipedia;;;Tennis;2;Tournoi de Garanti Koza Sofia Open, Sofia sur Dur (int.)d'une dotation de 482 060 €
07/02/2017;Fête nationale de Grenade;;45;2;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-80
09/02/2017;Début des Mondiaux de biathlon à Hochfilzen (Aut);9 au 19 février, Mondiaux à Hochfilzen (Aut);38;4;Le Parisien;;;Sports;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
11/02/2017;Journée internationale des femmes de science;Journée internationale des femmes de science - (A/RES/70/212);18;2;ONU;;;Sciences;2;
