occurs_at;headline;headline_initial;sub_category_id;rating;source;valid;description;sub_category_name;month;source_url
01/01/2017;Fête nationale du Soudan.;;45;2;Wikipedia;;;Fêtes étrangères;1;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-186
01/01/2017;Jour de l'an;;41;5;Kalendrier.com;;;Jours fériés;1;https://www.kalendrier.com/jours-feries/2017.html
02/01/2017;Début du Paris-Dakar (Paraguay, Bolivie, Argentine);2 au 14 janv., Dakar (Paraguay, Bolivie, Argentine);32;5;Le Parisien;;;Auto-moto;1;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
03/01/2017;Pic d'activité de la pluie d'étoiles filantes des Quadrantides;;18;2;Futura Sciences;;;Sciences;1;http://www.futura-sciences.com/sciences/actualites/astronomie-10-evenements-astronomiques-vont-marquer-2017-65785/
04/01/2017;Fête nationale de la Birmanie (anniversaire de l'indépendance en 1948).;Anniversaire de l'indépendance en 1948.;45;2;Wikipedia;;;Fêtes étrangères;1;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-27
04/01/2017;Périhélie. Distance minimum entre la Terre et le Soleil : 147,1 millions de kilomètres;;18;2;Futura Sciences;;;Sciences;1;http://www.futura-sciences.com/sciences/actualites/astronomie-10-evenements-astronomiques-vont-marquer-2017-65785/
06/01/2017;Début des 32es de finale de la Coupe de France;32es de finale 6 au 8 janvier;35;5;Le Parisien;;;Football;1;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
11/01/2017;Ouverture des championnats du monde de handball masculin en France;11 au 29 jan., Phase de poules du 11 au 19, phase finale du 21 au 29;0;5;Le Parisien;;;Sport;1;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
13/01/2017;Reprise du championnat de France après la trève (20ème journée);Reprise : 20e journée 13 au 15 janvier;35;3;Le Parisien;;;Football;1;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
14/01/2017;Début de la Coupe d'Afrique des Nations;14 au 25 janvier, Phase de poules;35;4;Le Parisien;;;Football;1;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
16/01/2017;Début de l'Open d’Australie, premier tournoi du Grand Chelem;16 au 29 janv. Open d’Australie;39;5;Le Parisien;;;Tennis;1;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
19/01/2017;Début du Rallye WRC de Monte-Carlo;19 au 22 janv., Rallye WRC de Monte-Carlo;32;2;Le Parisien;;;Auto-moto;1;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
25/01/2017;Début des championnats du monde d’Europe de patinage artistique à Ostrava (Rtc);25 au 29 janv., Championnats d’Europe à Ostrava (Rtc);0;2;Le Parisien;;;Sport;1;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
26/01/2017;Fête nationale de l'Australie (Australia Day : débarquement des premiers colons britanniques en 1788.);Australia Day : Débarquement des premiers colons britanniques en 1788.;45;2;Wikipedia;;;Fêtes étrangères;1;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-14
26/01/2017;Fête nationale de l'Inde (jour de l'Indépendance en 1947).;Jour de l'Indépendance en 1947.;45;2;Wikipedia;;;Fêtes étrangères;1;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-90
27/01/2017;Journée internationale dédiée à la mémoire des victimes de l'Holocauste;Journée internationale dédiée à la mémoire des victimes de l'Holocauste (A/RES/60/7);24;3;ONU;;;Histoire;1;
31/01/2017;Fête nationale de Nauru (jour de l'indépendance en 1968).;Jour de l'indépendance (1968).;45;2;Wikipedia;;;Fêtes étrangères;1;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-140
01/02/2017;Hand Star Game à Paris;1er février, Hand Star Game à Paris;0;2;Le Parisien;;;Sport;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
03/02/2017;Début de Japon - France, 1er tour de Coupe Davis;3 au 5 février, Japon - France, 1er tour de Coupe Davis (finale du 24 au 26 novembre);39;4;Le Parisien;;;Tennis;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
04/02/2017;Journée mondiale contre le cancer;Journée mondiale contre le cancer;29;4;ONU;;;Santé;2;
04/02/2017;Tournoi des six Nations, Angleterre - France;4 février, Angleterre - France;37;5;Le Parisien;;;Rugby;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
04/02/2017;Fête nationale du Sri Lanka (anniversaire de l'indépendance en 1948).;Anniversaire de l'indépendance en 1948.;45;2;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-188
05/02/2017;Super Bowl à Houston (EU);5 février, Super Bowl à Houston (EU);0;5;Le Parisien;;;Sport;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
06/02/2017;Journée internationale de tolérance zéro face aux mutilations sexuelles féminines;Journée internationale de tolérance zéro face aux mutilations sexuelles féminines (A/RES/67/146);29;2;ONU;;;Santé;2;
06/02/2017;Début de l'Open Sud à Montpellier;6 au 12 février, Open Sud à Montpellier;39;1;Le Parisien;;;Tennis;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
06/02/2017;Début des championnats du monde de ski alpin à Saint-Moritz (Sui);6 au 19 février, Championnats du monde à Saint-Moritz (Sui);0;5;Le Parisien;;;Sport;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
06/02/2017;Fête nationale de la Nouvelle-Zélande (traité de Waitangi en 1840 entre les Maori et la Couronne britannique).;Traité de Waitangi en 1840 entre les Maori et la Couronne britannique.;45;2;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-147
07/02/2017;Fête nationale de Grenade.;;45;2;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-80
09/02/2017;Début des Mondiaux de biathlon à Hochfilzen (Aut);9 au 19 février, Mondiaux à Hochfilzen (Aut);0;4;Le Parisien;;;Sport;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
11/02/2017;Journée internationale des femmes de science;Journée internationale des femmes de science - (A/RES/70/212);18;2;ONU;;;Sciences;2;
11/02/2017;Début de Suisse - France, 1er tour de Fed Cup;11 et 12 février, Suisse - France, 1er tour de Fed Cup (finale 11 et 12 nov.);39;3;Le Parisien;;;Tennis;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
11/02/2017;Début du Grand Slam de judo de Paris;11 et 12 fév., Grand Slam de Paris;38;2;Le Parisien;;;Sports de combat;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
11/02/2017;Fête nationale de l'Iran.;;45;2;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-93
11/02/2017;Fête nationale du Japon (Fête de la Fondation en 660 av. J.-C.).;Fête de la Fondation (660 av. J.-C.).;45;3;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-102
12/02/2017;Tournoi des six Nations, France - Ecosse;12 février, France - Ecosse;37;4;Le Parisien;;;Rugby;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
13/02/2017;Journée mondiale de la radio;Journée mondiale de la radio [UNESCO];17;3;ONU;;;Médias;2;
14/02/2017;Fête de la Saint-Valentin.;;46;5;Kaendrier.com;;;Jours spéciaux;2;https://www.kalendrier.com/fetes-civiles.html
15/02/2017;Fête nationale de la Serbie (coup d'État de 1977).;Coup d'État de 1977.;45;2;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-179
16/02/2017;Fête nationale de la Lituanie (anniversaire de l'indépendance).;Anniversaire de l'indépendance.;45;2;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-116
17/02/2017;Début de la Leaders Cup  au Parc Disney;17 au 19 fév., Leaders Cup au Parc Disney;33;2;Le Parisien;;;Basket;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
17/02/2017;Fête nationale de la  Libye (révolution libyenne en 2011).;la révolution libyen en 2011;45;2;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-114
18/02/2017;Fête nationale de la  Gambie (fête de l'indépendance).;Fête de l'indépendance.;45;2;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-74
20/02/2017;Journée mondiale de la justice sociale;Journée mondiale de la justice sociale (A/RES/62/10);26;2;ONU;;;Justice;2;
20/02/2017;Début de l'Open 13 à Marseille;20 au 26 fév., Open 13 à Marseille;39;1;Le Parisien;;;Tennis;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
