occurs_at,headline_initial,sub_category_name
26 03 2017,National Assembly 2017 of Bulgaria,Elections
02 04 2017,Ecuador President Second Round of Ecuador,Elections
02 04 2017,National Assembly of Armenia,Elections
02 04 2017,President of Serbia,Elections
06 04 2017,"Gambia National Assembly of Gambia, The",Elections
16 04 2017,Constitutional Referendum 2017 of Turkey,Elections
23 04 2017,France President Round 1 of France,Elections
04 05 2017,National People's Assembly 2017 of Algeria,Elections
06 05 2017,Niue Assembly 2017 of Niue,Elections
09 05 2017,South Korea President of South Korea,Elections
19 05 2017,President of Iran,Elections
24 05 2017,Legislative Assembly of Cayman Islands,Elections
11 06 2017,France National Assembly Round 1 of France,Elections
18 06 2017,Albania Parliament 2017 of Albania,Elections
24 06 2017,Papua New Guinea Parl 2017 of Papua New Guinea,Elections
26 06 2017,President 2017 of Mongolia,Elections
02 07 2017,National Assembly of Senegal,Elections
29 07 2017,National Assembly of Gabon,Elections
04 08 2017,President of Rwanda,Elections
11 09 2017,Norway Parliament 2017 of Norway,Elections
23 09 2017,New Zealand Parliament 2017 of New Zealand,Elections
24 09 2017,Federal Diet of Germany,Elections
10 10 2017,House of Representatives of Liberia,Elections
10 10 2017,President of Liberia,Elections
19 11 2017,Chamber of Deputies of Chile,Elections
19 11 2017,President 2017 of Kyrgyzstan,Elections
19 11 2017,President of Chile,Elections
19 11 2017,Senate 2017 of Chile,Elections
26 11 2017,National Congress of Honduras,Elections
26 11 2017,President of Honduras,Elections
