occurs_at,headline_initial,sub_category_name
07 01 2017,"SALON STUDYRAMA DES ETUDES SUPÉRIEURES DE METZMetz -- Salon des études supérieures de Metz (Bac à Bac +5, en initial /alternance). Le Salon Studyrama des Etudes Supérieures de Metz est organisé sous le haut patronage du Ministère de l’Education Nationale, de l’Enseignement Supérieur et de la Recherche",Entreprises
12 01 2017,EXPOZOOParis -- Salon professionnel des animaux familiers,Entreprises
14 01 2017,EROSEXPO METZMetz -- Salon de l'érotisme,Entreprises
20 01 2017,SALON DE L’HABITAT & DES ÉCONOMIES D’ENERGIES – MONTBÉLIARDMontbéliard -- Salon spécialisé dans les dernières innovations en matière d’économie d’énergie et de préservation de l’environnement,Entreprises
21 01 2017,SIRHALyon -- Salon international des métiers de l'hôtellerie et de la restauration,Entreprises
24 01 2017,BOCUSE D'OR LYONLyon -- Concours mondial de la cuisine,Entreprises
24 01 2017,"SEPEM INDUSTRIES NORDDouai -- Salon des services, équipements, process et maintenance pour les industries du Nord de la France",Entreprises
28 01 2017,WEEK-END DU MARIAGE ET DE LA RÉCEPTIONCalais -- Salon du mariage,Entreprises
28 01 2017,SALON DES TAXISParis -- Salon dédié aux taxis et aux ambulanciers,Entreprises
30 01 2017,"JOURNÉES EUROPÉENNES DE DERMOCOSMÉTOLOGIELyon -- Journées thématiques de dermocosmétologie. La néo chimie végétale, de l'innocuité à l'efficacité",Entreprises
10 02 2017,"SALON DES SPORTS DE NATURE - MONTPELLIERMontpellier -- Salon des sports de nature. Courses à pied, trails, treks, balades, randonnées pédestres, équitation, cyclotourisme, escalade, vélo, ski, canoë, surf, voile, pêche…",Entreprises
10 02 2017,KAMASOU NÎMESNîmes -- Salon de l'érotisme,Entreprises
26 02 2017,"SIMA - SIMAGENAParis -- Mondial des fournisseurs de l'agriculture et de l'élevage. Le SIMA répond à tous les besoins d'une exploitation: équipements, élevage et énergies renouvelables",Entreprises
02 03 2017,ART UP! - LILLELille -- Foire européenne d'art contemporain,Entreprises
02 03 2017,TENDANCES CRÉATIVES - MARSEILLEMarseille -- Salon des loisirs créatifs,Entreprises
02 03 2017,CAPSULE SHOW PARIS WOMENSParis -- Salon de la mode féminine,Entreprises
02 03 2017,PARIS SUR MODEParis -- Salon de la mode. PARIS SUR MODE accueillera marques et créateurs de prêt-à-porter féminin qui présenteront leurs prochaines collections automne-hiver,Entreprises
02 03 2017,SALON DES ANTIQUAIRES ET ART CONTEMPORAINNancy -- Salon des antiquaires et de l'art vontemporain,Entreprises
02 03 2017,"SALON HABITAT DÉCO NANCYNancy -- Salon de l'habitat et de la décoration. Plus de 200 exposants professionnels vous accueillent pour vous renseigner, vous présenter leurs savoir-faire et innovations et vous donner des idées pour aménager votre maison",Entreprises
03 03 2017,"100% HABITATBiarritz -- Salon de l'habitat, du jardin, de la décoration et de l'immobilier",Entreprises
03 03 2017,"SALON DE L'HABITAT DE FONTENAY-LE-COMTEFontenay-le-Comte -- Salon de l'habitat de Fontenay-le-Comte. Le Salon de l'habitat vous proposera aménagements, équipements, décorations, constructions et rénovations: tous les spécialistes seront ainsi réunis pour vous conseiller et vous guider dans vos projets maison",Entreprises
03 03 2017,"TOURISSIMA LILLELille -- Salon du tourisme et du loisir. Le Salon TOURISSIMA Lille est rendez-vous incontournable pour choisir vos futures vacances, week-ends et loisirs parmi plus de 250 destinations",Entreprises
03 03 2017,SALON EUROPÉEN DES PÊCHESNantes -- Salon européen des pêches en mer et des bateaux du pêcheur plaisancier,Entreprises
03 03 2017,"SALON DÉCO & DESIGN - NANTES REZÉNantes -- Salon de la décoration et de l'aménagement intérieur. Salon Déco est le lieu de rendez-vous des amoureux de la décoration et le point de rencontre des tendances, des innovations et des savoir-faire d’exception",Entreprises
03 03 2017,"PREMIÈRE CLASSEParis -- Salon de l'accessoire de mode. PREMIERE CLASSE présente une sélection de 350 créateurs pointus d’accessoires de mode, haut de gamme qui influencent les achats d’une distribution exclusive internationale",Entreprises
04 03 2017,SALON STUDYRAMA DE LA POURSUITE D’ÉTUDES ET MASTERS DE LILLELille -- Salon des études post Bac+2 à Bac+4. Le salon Studyrama de la Poursuite d’Etudes et Masters de Lille est le rendez-vous à ne pas manquer pour trouver sa formation de la Licence Pro au Master et réussir son orientation,Entreprises
04 03 2017,"SALON STUDYRAMA SUP’ALTERNANCE DE LILLELille -- Salon de la formation en alternance de Lille. Le Salon Sup’Alternance de Lille est organisé sous le haut patronage du Ministère de l’Education Nationale, de l’Enseignement supérieur et de la Recherche",Entreprises
04 03 2017,"SALON LIVRES & PATRIMOINESAix-en-Provence -- Salon du livre à Aix-en-Provence. Le Salon Livres et Patrimoines réunira de nombreuses maisons d’éditions spécialisées ou locales dans le domaine des ouvrages patrimoniaux (écrits, photos, illustrations, bandes dessinées, etc.) mais aussi des libraires",Entreprises
04 03 2017,"SALON TOURISME ET PATRIMOINEAix-en-Provence -- Salon du tourisme culturel. Le salon ""Tourisme et Patrimoine"" propose des idées de séjours culturels à travers l’architecture, l’histoire, les arts, la musique, le patrimoine naturel en valorisant l’offre des exposants français et étrangers",Entreprises
04 03 2017,"GRAND RENDEZ-VOUS CHASSE, PÊCHE ET CHEVAL EN SOMMEAmiens -- Salon des amoureux de la nature. Le Grand Rendez-vous Chasse, Pêche et Cheval en Somme réunira exposants en matériel de chasse, de pêche, d’équitation et des produits du terroir",Entreprises
04 03 2017,SALON DES VINS DE FRANCE - BRIVE-LA-GAILLARDEBrive-la-Gaillarde -- Salon des vins de Brive-la-Gaillarde. Les Salon des Vins de France accueille chaque année de nombreux vignerons et artisans des métiers de bouche réunis pour partager leur passion et présenter le meilleur de leur production,Entreprises
04 03 2017,"VIVING LORIENTLorient -- Salon de l'habitat de Lorient. Construction, rénovation, promotion, financement, ouverture & fermeture, isolation, production d’énergie, chauffage & climatisation, décoration & ameublement, cuisine & bain, art ménager, extérieurs, bricolage",Entreprises
04 03 2017,SALON DES VINS ET DE LA GASTRONOMIE - VANNESVannes -- Salon des vins et de la gastronomie. Les salons des vins et de la gastronomie sont l'occasion de vous initier aux techniques de la dégustation ou parfaire vos connaissances lors des animations qui vous sont proposées,Entreprises
04 03 2017,"BÂTIRNice -- Salon de la construction. Si vous souhaitez aménager, décorer, rénover votre habitation",Entreprises
04 03 2017,FOIRE INTERNATIONALE DE NICENice -- Foire internationale de Nice,Entreprises
05 03 2017,BEAUTÉ SÉLECTION - NANTESNantes -- Salon professionnel de la coiffure et des soins esthétiques,Entreprises
06 03 2017,"SPORT ACHAT - LYONLyon -- Salon des professionnels du sport: matériel, chaussure, vêtement, accessoires, équipement du magasin et services. Sport-Achat réunit les plus grands acteurs du marché du sport",Entreprises
07 03 2017,"CFIA RENNESRennes -- Carrefour des fournisseurs de l'industrie agroalimentaire. le CFIA RENNES est un salon professionnel réunissant équipementiers, fournisseurs et prestataires de services de l’Industrie Agroalimentaire",Entreprises
08 03 2017,FORUM RHÔNE-ALPESLyon -- Salon de recrutement d'élèves-ingénieurs de France,Entreprises
08 03 2017,IT-PARTNERSParis -- Le Business Club de la Distribution IT. Rencontre d'affaires consacrées à l'informatique et à la bureautique en B to B,Entreprises
08 03 2017,PARIS SPACE WEEKParis -- Rencontres d'affaires internationales et salon de l'industrie de l'espace,Entreprises
08 03 2017,"BE POSITIVELyon -- Salon de la performance énergétique et environnementale des bâtiments et territoires. BePOSITIVE regroupe l’ensemble des solutions des professionnels du bâtiment et de l’énergie au sein de 3 univers: Energie dans le bâtiment, Bâtiment et Aménagement, ENR",Entreprises
08 03 2017,ENRLyon -- Salon des énergies renouvelables,Entreprises
09 03 2017,SALONS CE LYONLyon -- Salon des comités d'entreprises et des collectivités,Entreprises
